timestamp,track_id,event,zone,duration,frame
21.32,132,ENTER_ZONE,Waiting,0.00,639
21.32,307,ENTER_ZONE,Kitchen,0.00,639
21.39,218,EXIT_ZONE,Dining,0.53,641
21.39,218,ENTER_ZONE,Kitchen,0.00,641
21.39,307,EXIT_ZONE,Kitchen,0.07,641
21.42,132,EXIT_ZONE,Waiting,0.10,642
21.42,311,EXIT_ZONE,Kitchen,1.74,642
21.52,132,ENTER_ZONE,Waiting,0.00,645
21.59,132,EXIT_ZONE,Waiting,0.07,647
21.62,311,ENTER_ZONE,Kitchen,0.00,648
21.72,218,EXIT_ZONE,Kitchen,0.33,651
21.72,218,ENTER_ZONE,Dining,0.00,651
21.76,332,ENTER_ZONE,Kitchen,0.00,652
21.82,218,EXIT_ZONE,Dining,0.10,654
22.12,311,EXIT_ZONE,Kitchen,0.50,663
22.16,311,ENTER_ZONE,Kitchen,0.00,664
22.22,311,EXIT_ZONE,Kitchen,0.07,666
22.26,311,ENTER_ZONE,Kitchen,0.00,667
22.29,349,ENTER_ZONE,Kitchen,0.00,668
22.42,132,ENTER_ZONE,Waiting,0.00,672
22.42,320,EXIT_ZONE,Waiting,1.37,672
22.42,332,EXIT_ZONE,Kitchen,0.67,672
22.46,350,ENTER_ZONE,Kitchen,0.00,673
22.52,332,ENTER_ZONE,Kitchen,0.00,675
22.59,307,ENTER_ZONE,Kitchen,0.00,677
22.62,307,EXIT_ZONE,Kitchen,0.03,678
22.62,350,EXIT_ZONE,Kitchen,0.17,678
22.69,307,ENTER_ZONE,Kitchen,0.00,680
22.92,311,EXIT_ZONE,Kitchen,0.67,687
22.96,311,ENTER_ZONE,Kitchen,0.00,688
23.02,293,EXIT_ZONE,Kitchen,1.97,690
23.12,293,ENTER_ZONE,Kitchen,0.00,693
23.12,349,EXIT_ZONE,Kitchen,0.83,693
23.29,355,ENTER_ZONE,Kitchen,0.00,698
23.29,356,ENTER_ZONE,Kitchen,0.00,698
23.32,355,EXIT_ZONE,Kitchen,0.03,699
23.46,293,EXIT_ZONE,Kitchen,0.33,703
23.82,349,ENTER_ZONE,Kitchen,0.00,714
23.86,355,ENTER_ZONE,Kitchen,0.00,715
23.86,349,EXIT_ZONE,Kitchen,0.03,715
23.96,307,EXIT_ZONE,Kitchen,1.27,718
23.96,355,EXIT_ZONE,Kitchen,0.10,718
24.06,332,EXIT_ZONE,Kitchen,1.53,721
24.09,360,ENTER_ZONE,Waiting,0.00,722
24.16,307,ENTER_ZONE,Kitchen,0.00,724
24.26,332,ENTER_ZONE,Kitchen,0.00,727
24.26,360,EXIT_ZONE,Waiting,0.17,727
24.29,307,EXIT_ZONE,Kitchen,0.13,728
24.29,132,EXIT_ZONE,Waiting,1.87,728
24.56,360,ENTER_ZONE,Waiting,0.00,736
24.56,332,EXIT_ZONE,Kitchen,0.30,736
24.66,349,ENTER_ZONE,Kitchen,0.00,739
24.66,360,EXIT_ZONE,Waiting,0.10,739
24.66,268,EXIT_ZONE,Dining,9.11,739
24.76,349,EXIT_ZONE,Kitchen,0.10,742
24.79,268,ENTER_ZONE,Dining,0.00,743
24.86,360,ENTER_ZONE,Waiting,0.00,745
24.86,268,EXIT_ZONE,Dining,0.07,745
24.96,355,ENTER_ZONE,Kitchen,0.00,748
24.96,132,ENTER_ZONE,Waiting,0.00,748
24.96,268,ENTER_ZONE,Dining,0.00,748
24.99,355,EXIT_ZONE,Kitchen,0.03,749
25.06,132,EXIT_ZONE,Waiting,0.10,751
25.36,268,EXIT_ZONE,Dining,0.40,760
25.46,268,ENTER_ZONE,Dining,0.00,763
25.49,360,EXIT_ZONE,Waiting,0.63,764
25.56,360,ENTER_ZONE,Waiting,0.00,766
25.63,360,EXIT_ZONE,Waiting,0.07,768
25.66,349,ENTER_ZONE,Kitchen,0.00,769
25.66,132,ENTER_ZONE,Waiting,0.00,769
25.66,360,ENTER_ZONE,Waiting,0.00,769
25.69,349,EXIT_ZONE,Kitchen,0.03,770
25.79,380,ENTER_ZONE,Kitchen,0.00,773
25.89,360,EXIT_ZONE,Waiting,0.23,776
25.93,360,ENTER_ZONE,Waiting,0.00,777
25.96,349,ENTER_ZONE,Kitchen,0.00,778
25.96,132,EXIT_ZONE,Waiting,0.30,778
26.03,349,EXIT_ZONE,Kitchen,0.07,780
26.06,132,ENTER_ZONE,Waiting,0.00,781
26.06,349,ENTER_ZONE,Kitchen,0.00,781
26.13,355,ENTER_ZONE,Kitchen,0.00,783
26.13,356,EXIT_ZONE,Kitchen,2.84,783
26.59,380,EXIT_ZONE,Kitchen,0.80,797
26.63,311,EXIT_ZONE,Kitchen,3.67,798
26.73,380,ENTER_ZONE,Kitchen,0.00,801
26.73,234,EXIT_ZONE,Kitchen,13.08,801
26.89,234,ENTER_ZONE,Kitchen,0.00,806
26.93,311,ENTER_ZONE,Kitchen,0.00,807
26.99,311,EXIT_ZONE,Kitchen,0.07,809
27.09,355,EXIT_ZONE,Kitchen,0.97,812
27.19,234,EXIT_ZONE,Kitchen,0.30,815
27.19,268,EXIT_ZONE,Dining,1.74,815
27.23,385,ENTER_ZONE,Dining,0.00,816
27.23,311,ENTER_ZONE,Kitchen,0.00,816
27.29,234,ENTER_ZONE,Kitchen,0.00,818
27.36,132,EXIT_ZONE,Waiting,1.30,820
27.43,389,ENTER_ZONE,Dining,0.00,822
27.49,389,EXIT_ZONE,Dining,0.07,824
27.63,385,EXIT_ZONE,Dining,0.40,828
27.69,389,ENTER_ZONE,Dining,0.00,830
27.69,385,ENTER_ZONE,Dining,0.00,830
27.76,132,ENTER_ZONE,Waiting,0.00,832
27.79,268,ENTER_ZONE,Dining,0.00,833
27.79,132,EXIT_ZONE,Waiting,0.03,833
27.79,389,EXIT_ZONE,Dining,0.10,833
27.86,389,ENTER_ZONE,Dining,0.00,835
27.89,132,ENTER_ZONE,Waiting,0.00,836
27.89,389,EXIT_ZONE,Dining,0.03,836
27.99,385,EXIT_ZONE,Dining,0.30,839
27.99,132,EXIT_ZONE,Waiting,0.10,839
28.09,234,EXIT_ZONE,Kitchen,0.80,842
28.09,311,EXIT_ZONE,Kitchen,0.87,842
28.19,385,ENTER_ZONE,Dining,0.00,845
28.19,132,ENTER_ZONE,Waiting,0.00,845
28.19,234,ENTER_ZONE,Kitchen,0.00,845
28.19,360,EXIT_ZONE,Waiting,2.27,845
28.23,360,ENTER_ZONE,Waiting,0.00,846
28.23,234,EXIT_ZONE,Kitchen,0.03,846
